soa_11_code,ratio_soa_intersection_com
95VV02W1,0.8104428
95VV05S2,0.0342018
95VV10S1,0.9502675
95VV10S2,1
95VV11S1,0.0921689
95VV11S2,0.1269496
95VV12S1,0.01793
95VV13S2,0.0071652
95VV14S1,0.9871083
95VV14S2,1
95VV15S1,1
95VV15S2,0.8008136
95VV16W1,0.0319718
95VV27W1,0.642785
95VV28S1,0.9324093
95VV28S2,0.6106982
95VV29W1,0.0003017
95VV30S1,1
95VV30S2,1
